year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,331.0,4.0,4.0,85.0,5.0,2.0,13.0,0.0,0.0,0.0,8.0,6.0,229.0,1.0,4.0,249,24.0,13.0,32.0
2.0,1192.0,2.0,105.0,39.0,95.0,26.0,21.0,33.0,0.0,0.0,8.0,6.0,203.0,0.0,5.0,207,14.0,23.0,62.0
2.0,3072.0,8.0,19.0,92.0,48.0,15.0,8.0,9.0,143.0,51.0,4.0,6.0,183.0,0.0,3.0,241,9.0,7.0,62.0
2.0,1717.0,0.0,16.0,25.0,10.0,15.0,0.0,16.0,51.0,18.0,6.0,5.0,178.0,0.0,0.0,195,25.0,36.0,53.0
2.0,482.0,11.0,20.0,51.0,45.0,6.0,1.0,1.0,31.0,107.0,0.0,0.0,130.0,1.0,1.0,80,0.0,8.0,52.0
2.0,1747.0,2.0,10.0,44.0,66.0,16.0,4.0,17.0,120.0,64.0,8.0,5.0,241.0,0.0,5.0,180,29.0,17.0,26.0
2.0,666.0,0.0,226.0,18.0,26.0,4.0,0.0,4.0,27.0,29.0,8.0,5.0,199.0,0.0,0.0,199,2.0,33.0,50.0
2.0,2523.0,3.0,87.0,14.0,8.0,3.0,0.0,2.0,14.0,12.0,6.0,1.0,137.0,0.0,3.0,119,1.0,9.0,4.0
2.0,1824.0,0.0,57.0,26.0,4.0,29.0,0.0,34.0,57.0,21.0,2.0,4.0,75.0,0.0,0.0,134,26.0,14.0,18.0
2.0,1807.0,9.0,11.0,27.0,62.0,27.0,0.0,25.0,100.0,32.0,8.0,6.0,201.0,0.0,8.0,202,22.0,7.0,1.0
2.0,207.0,4.0,2.0,118.0,20.0,13.0,4.0,13.0,108.0,31.0,8.0,3.0,159.0,1.0,4.0,57,9.0,4.0,37.0
2.0,3095.0,2.0,1.0,70.0,72.0,15.0,0.0,44.0,161.0,71.0,0.0,6.0,204.0,0.0,5.0,209,30.0,13.0,34.0
2.0,1424.0,6.0,18.0,60.0,88.0,2.0,33.0,12.0,118.0,40.0,4.0,3.0,44.0,1.0,4.0,35,30.0,7.0,16.0
2.0,3342.0,2.0,11.0,91.0,105.0,24.0,11.0,35.0,88.0,64.0,8.0,6.0,225.0,0.0,9.0,221,15.0,18.0,50.0
2.0,3044.0,0.0,18.0,126.0,29.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,23.0,0.0,0.0,105,25.0,19.0,27.0
2.0,344.0,9.0,78.0,43.0,65.0,2.0,0.0,9.0,17.0,52.0,1.0,6.0,238.0,0.0,8.0,250,6.0,13.0,50.0
2.0,635.0,3.0,11.0,51.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,115.0,0.0,3.0,26,0.0,3.0,5.0
